time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T10:55:48.490Z,38.7579994,-122.7285004,1.95,1.93,md,17,69,0.0136,0.06,nc,nc73196471,2019-06-12T13:32:04.348Z,"3km SE of The Geysers, CA",earthquake,0.28,0.4,0.11,7,automatic,nc,nc
2019-06-12T10:54:49.028Z,64.8348,-149.0131,24.4,0.9,ml,,,,0.26,ak,ak0197hqvkzq,2019-06-12T10:59:03.266Z,"28km N of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-06-12T10:49:19.390Z,34.0353333,-117.5055,1.98,2.6,ml,85,15,0.04217,0.22,ci,ci38637088,2019-06-12T15:40:56.132Z,"3km NW of Glen Avon, CA",earthquake,0.16,0.33,0.181,24,automatic,ci,ci
2019-06-12T10:45:46.396Z,63.5442,-153.1386,17.8,1.2,ml,,,,0.3,ak,ak0197hqtncf,2019-06-12T10:50:40.516Z,"139km ENE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-06-12T10:44:26.260Z,38.7681656,-122.7173309,1.43,1.52,md,12,141,0.01411,0.05,nc,nc73196461,2019-06-12T12:49:03.089Z,"2km WSW of Anderson Springs, CA",earthquake,0.34,0.61,0.22,5,automatic,nc,nc
2019-06-12T10:43:42.160Z,18.1051,-66.724,32,1.92,md,4,129,0.1332,0.21,pr,pr2019163009,2019-06-12T11:56:50.347Z,"5km N of Penuelas, Puerto Rico",earthquake,1.1,2.2,0.09,4,reviewed,pr,pr
2019-06-12T10:40:24.415Z,62.2287,-149.6873,13.1,1.3,ml,,,,0.59,ak,ak0197hqsj2h,2019-06-12T10:45:48.799Z,"11km NE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-06-12T10:39:44.240Z,37.6396667,-118.9648333,3.35,0.01,md,6,162,0.02244,0.13,nc,nc73196456,2019-06-12T16:45:06.450Z,"1km ENE of Mammoth Lakes, CA",earthquake,0.79,1.5,0.293,5,reviewed,nc,nc
2019-06-12T10:35:08.834Z,38.2612,141.603,51.02,4.2,mwr,,125,0.751,0.72,us,us70003yfy,2019-06-12T11:01:34.040Z,"31km ESE of Ishinomaki, Japan",earthquake,7.1,7.3,0.08,15,reviewed,us,us
2019-06-12T09:39:20.590Z,63.4073,-148.769,81.4,1.1,ml,,,,0.76,ak,ak0197hq6vgh,2019-06-12T09:44:46.625Z,"9km E of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-12T09:32:13.740Z,19.3675003,-155.0931702,3.62,2.19,ml,55,142,0.01827,0.21,hv,hv70992266,2019-06-12T09:37:51.240Z,"16km ESE of Volcano, Hawaii",earthquake,0.4,0.5,1.72,27,automatic,hv,hv
2019-06-12T09:31:30.537Z,61.1442,-140.5045,12.7,1.3,ml,,,,0.56,ak,ak0197hq56hd,2019-06-12T09:35:24.096Z,"159km NE of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-12T09:28:19.580Z,38.8260002,-122.8539963,2.79,0.86,md,19,71,0.002726,0.02,nc,nc73196436,2019-06-12T10:58:03.453Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.58,0.06,4,automatic,nc,nc
2019-06-12T09:25:41.490Z,37.3202,-115.2512,7.3,1.5,ml,27,74.79,0.159,0.25,nn,nn00687389,2019-06-12T09:29:06.738Z,"9km WSW of Alamo, Nevada",earthquake,,20.2,,,automatic,nn,nn
2019-06-12T09:24:44.430Z,32.8143333,-116.0298333,9.58,1.21,ml,7,116,0.06099,0.19,ci,ci38637064,2019-06-12T09:28:21.103Z,"10km NNW of Ocotillo, CA",earthquake,0.62,1,0.283,7,automatic,ci,ci
